content,score,label
"saya pesan paket ,kenapa harga d aplikasi saya sama d aplikasi kurir berbeda lebih mahal d aplikasi kurir nya",5,positif
sangat bagus,5,positif
"terima kasih sudah menanggapi dengan cepat kendala yang saya alami, memang bener² terpercaya shopee ini top markotoplah...",5,positif
mantav,5,positif
"sangat membantu, belanja jadi mudah, meski kadang tidak sesuai",5,positif
sangat puas,5,positif
"bagus....smw jd mudah dgn shopee...dan murah"" lagi",5,positif
sangat membantu dalam meringankan pikiran dan dalam pembelian onlen,5,positif
shopee paling murah,5,positif
"sangat membantu..belanja tanpa harus keluar rumah,tau² barang nyampe rumah harga lebih murah....pokok nya sy suka",5,positif
"aplikasi bodong, gasudi gw pake ni aplikasi, uang hilang tiba²",1,negatif
"belanja d Shopee sangat menyenangkan harga murah dn gratis ongkir, memudahkan berbelanja dan kebutuhan rumah tangga dll",5,positif
very good and cheap sometimes not expensive ☺️🙏,5,positif
kesel tf ke bank tumben lama banget masuknya!,2,negatif
sangat membantu,5,positif
fungsi fitur lacak untuk apa klo tidak tau posisi kurir dimana dan tidak ada fitur untuk menghubungi kurir yang ditugaskan untuk mengirim tidak sperti aplikasi sebelah,3,netral
lama lama jadi bikin berat sama lemot ke hpnya,2,negatif
sangat membantu,4,positif
kami minta shoope bisa langsung digunakan tanpa menggunakan memverifikasi ktp,5,positif
peroduk bagus banget,5,positif
g berfungsi,1,negatif
Good👍,5,positif
mantap!!!,5,positif
cepat,5,positif
Berat Banget Aplikasinya🤔🤔...Dan sangat membingungkan bagi orang yg baru blajar blanja online,1,negatif
lengkap,5,positif
mantap,2,negatif
lebih murah dari yang lain,5,positif
Sangattt membantu,5,positif
good,5,positif
Kenapa tidak bisa mencari pencarian barang,1,negatif
"tambahin dark mode woy, perih mata gau.",1,negatif
Semoga sukses selalu...jaya didunia sukses di akhirat😎😎,5,positif
"developer macam apa,saat ingin retur barang karna salah,kemuadian memasukan akun rekening bank malah tidak bisa, memaksa sekali harus pakai shopepay untuk pengembalian dananya",1,negatif
dengan shopee belanja jd mudah,5,positif
"Saya Sedikit kecewa sama Apk Dagang online ini, karena apa? karena Kalo kita nge chat yg punya toko untuk membeli sebuah produk nya, kita malah di katain spam atau bahasa yg tidak apalah gitu, coba perbaiki lagi min, kita sebagai pembeli mau bagaimana caranya berkomunikasi dengan penjual nya kalo begitu. hadeh😌",3,netral
matpapslslslslsll,4,positif
oke,5,positif
shopppe adalah aplikasi prtama saya untuk melakukan belanja secara onlineeeee,5,positif
"biasa y saya selalu puas dgn pelayanan shopee,tp skrg agak kecewa",3,netral
"down mulu bjir, ku kira device ku, bbrp kali restart device ttp aj down bjir lah",1,negatif
bagus dan ongkirnya murah,5,positif
baik,5,positif
bagus tapi telat dikit di brkukan,5,positif
"aplikasinya sudah bagus,tetapi saat saya ketemu iklan shopee entah kenapa walupun saya tidak menekan tombol apapun tiba² saya langsung dibawa ke aplikasinya berkali kali.saya sangat terganggu akan hal ini.",1,negatif
aplikasi idiot mau pesen makanan gabisa aplikasis stuck loadinh tolol,1,negatif
soppe mempermudah kita untuk kebuhan dan cocok untuk yang malas belenja kluarumah maksih soppe saya sangat senang dan terbantu dengan adanya soppe,5,positif
"mudah cepat hemat aman terpercaya, dah itu aja",5,positif
bagus sekali,5,positif
hebattt,5,positif
rekom,5,positif
sangat memuaskan,5,positif
sangat baik. sending Dan puas bebelanja,5,positif
bnyk alasan,1,negatif
shopee memang mantap melayani dan berkualitas,5,positif
bagus,5,positif
perbaiki deh lelet,1,negatif
banyak promo pengiriman cepat,5,positif
hio,5,positif
"shoope...tolong di benerin sistem nya., eror",5,positif
sy dapat email di suruh login shopee klu tak login bakal di hapus akun shopee sy bln juni tapi sy login tak bisa sekarang sy pki hp samsung a55 sy ada pki 2hp samsung dan redmi 9t tolong bantuan nya,5,positif
menyenangkan dan mudah di gunakan,5,positif
bacot lu asu,1,negatif
sangat membantu dalam mencari produk berkualitas yang dibutuhkan..,5,positif
"banyak pesenan fiktif, kacau nih shoppe",1,negatif
mantap,5,positif
semoga saya bisa pinjam.d.shopie,3,netral
"luar biasa, bisa memesan apa aja",5,positif
"bagus banget buat yg mager buat belanja di offline kaya aq,cuma kenapa GK bisa abdet secara otomatis ke yg baru",5,positif
aplikasi yang sangat membantu cepat responsif mudah dan sederhana,5,positif
sangat berguna dan banyak diskonnya😄😄,5,positif
sangat membantu,5,positif
"Saya baru membeli barang berupa powerbank Merek LENTIVEN namun barangnya TDK sesuai dengan Fakta/tutorialnya ( Barangnya rusak ) setelah proses pengembalian dikenakan biaya mandiri, sy SDH TDK mau beli barang LG lewat Shoope.",1,negatif
"Sudah bagus sekarang, optimasi RAM terasa lebih baik dibanding beberapa hari lalu. Memang masih ada sedikit bug, misalnya audio/video kadang tidak berhenti setelah pindah dari tab Live & Video, tapi overall sudah mantap sih. Cuma entah kenapa akhir-akhir ini rasanya aplikasi Shopee sering banget update 😅 dikit-dikit update terus. Semoga ke depannya lebih stabil lagi.",4,positif
mantap,5,positif
belanja dimana saja mudah pakai shopee harga murah banyak diskon dan voucer,5,positif
mantep ni aplikasi,5,positif
good mudah transaksinya,5,positif
bagus aplikasi nyah tapi penyimpanan nyah penuh banget dan ga 0rp😤🤭,3,netral
"Hati Hati bagi para customer,,,SHOPEE sekarang jadi sarang PENIPUAN... Terima Kasih",1,negatif
puas belanja nya,5,positif
yg bikin game tebak kata bikin ngeselin🤣🤣🤣,5,positif
"lemot, cs jga tidak membantu",1,negatif
sangat mengecewakan sudah pesan penginapan melalui shopee dicancel dari hotel diminta refund tidak bertanggung jawab sangat merugikan konsumen,1,negatif
Belanja lbh mudah dan praktis hanya shopee,5,positif
bagus,5,positif
mantap,5,positif
puas sekali memakai aplikasi shopee sangat membantu finansial usaha saya,5,positif
aplikasi belanja terkeren yang pernah ada,5,positif
shopee sungguh memudahkan berbelanja,5,positif
shopee memang woke,5,positif
lumayan bng,5,positif
cukup bagus,3,netral
mantap,5,positif
aplikasi bagus berguna dengan baik dan sangat membantu kita yg beli online atau jualan online maupun beli makan online,5,positif
apk kikir gw udah TF pake dana belanja tapi barang nya gak datang padahal alamat bener ganti rugi woyyyu,1,negatif
mantapppp,5,positif
sangat membatu sekali,5,positif
bagus shopee dalam pengirimanya sesuai,5,positif
shope saya mmg memuaskan.trms,5,positif
"di shoppe bener bener bikin aku semangat order,pesanan amanah ga pernah mengecewakan,terimakasih shoppe",5,positif
baguuuus,4,positif
"udah lapar"" nunggu lama ternyata pesanan di batalkan, nyesel download aplikasi gak jelas ini",1,negatif
shopee emng bagus orang yang suka belanja,5,positif
"Sekarang ekspedisi shopee express sering telat ya, tolong perbaiki biar konsumen ga pindah ke aplikasi lain, semoga shopee bisa memperbaikinya dan semoga tetap jaya ya shopee",5,positif
"Hy saya mau tanya, apakah spaylater yg di bekukan bisa di aktifkan lagi",5,positif
ambatukaaam,5,positif
banyak yang jualan barang palsu,1,negatif
bagus,2,negatif
sangat bgs,5,positif
bagus Saya sangat terbantu. semoga pay later aktif,5,positif
shope gimana sih saya ngajuin pengembalian malag di tolak mulu beda sama tiktok gampang aja gak ribet kalo kaya gini rugi dong barang gak cocok aduhhhh parah,1,negatif
Ini nama nya iklan maksa download buat menjadi orang stres dan emosi toh,1,negatif
sangat bagus dan terpecaya,5,positif
"pengembalian barang cpt banget, gratis dan mudah. pertahankan shopee",5,positif
jangan di instal aplikasi ini mencurigakan mudah logout dari akun google atau lain dipakai setalah itu dicurigai akun aku karena jarang belanja lebih baik tokopedia atau lazada dan tiktok shop daripada shopepay udah oranye jelek sepi bentuk aplikasi jelek isi nya jelek nggak bisa ambil diamond free fire tipuan dan suka menipu lebih baik main free fire daripada belanja baju satu di shopee dan shopepay juga sama aja susah login pake googl doang?!! gak bisa!! dan yang lain masalah verifikasi pembay,1,negatif
Setelah diupdate menu tracking Paket hilang g bisa akses noresi semuanya hilang hubungi operatornya malah eror👎👎👎👎,5,positif
"menganggu! saya selalu aktif pakai shopee pembelian saya selalu dari shopee tapi ini iklan nya tolong di perbaiki,di tiap aplikasi iklannya selalu shopee!! ketekan iklan nya atau ngak selalu log ini shopee dan akhirnya bug juga lemot",1,negatif
makin ga jelas tmbh lemot bug,1,negatif
google wwqqp,4,positif
"tolong yg jual barang kwalitas jelek dan palsu atau retting ⭐di blacklist,biar konsumen gk jadi korban",5,positif
mantap,5,positif
"Kapok pakai aplikasi e-commerce ini untuk belanja online. Seller nya gercep packing paket untuk segera dikirim tapi setelah sampai ditangan kurir, paket dengan sengaja ditunda-tunda tidak dikirim dan nyangkut di gudang dengan alasan overload lah, keterbatasan armada lah dan BLA BLA BLA BLA. Perusahaan sebesar ini tidak bisa mengatasi masalah sepele? Sungguh memalukan! Sikap kurir juga kurang ajar seperti tidak terlatih. Kalo punya SOP itu dipakai, jangan cuma diterapkan. CS pun tidak membantu!!!",1,negatif
bagus,5,positif
Sangat membantu terkait kebutuhan barang² yang susaah dibeli secara offline,5,positif
sip lanjutkan pelayanan dan bonus bonusnya..........,5,positif
sangat membantu untuk belanja online,5,positif
Gk pernah kecewa belanja disini😊,4,positif
"saran sih untuk alamat tambahin fitur foto lokasi, biar lebih jelas gitu. tampak rumahnya sprti apa, krna ga semua rumah punya nomor, pokonya TAMBAHIN FITUR FOTO DI LOKASI NYA",4,positif
good,5,positif
tolong balikan duit kuuuu di shoppee dealsssssssssssssssssss,2,negatif
selama ini belum pernah kecewa dan selalu merasa puas,5,positif
"selagi bisa ngutang, mantab",5,positif
bisa membantu untuk pembayaran,5,positif
KLO belanja di olshop ini puas rasanya karena KLO barangnya tidak sesuai untuk retur nya mudah 🙏🙏🙏,5,positif
istimewah,5,positif
pokoknya shopee terbaik,5,positif
ᴋᴏɴᴛᴏʟ ᴘᴇʟᴇʀ ʟᴜ ᴘᴇᴄᴀʜ bikin iklan jangan lama lama ᴋᴏɴᴛᴏʟ ʙᴀɴɢsᴀᴅ ʙᴀʙɪ ᴊᴇᴍʙᴜᴛ,1,negatif
terpercaya amanah bertanggung jawab,5,positif
Aplikasi terlalu berat,1,negatif
buat belanja online bagus 😁,5,positif
aplikasi yang bagus buat belanja kebutuhan khusus dalam rumah,5,positif
Nice👍,5,positif
alhamdulilah bagus,5,positif
oke sif puas banget,5,positif
"aplikasi bagus belanja online ,pengembalian barang mudah jika tidak sesuai",5,positif
"Pengiriman di Putar Putar gak jelas,dan proses yang lama",1,negatif
"pelayanan buruk, tidak bertanggung jAwab jika terjadi kerusakan barang akibat jasa kirimnya sendiri",1,negatif
pokonya mantul mksh Shopee🥰🥰🙏,5,positif
"dirugikan sebagai penjual, tim sc tidak bijak dalam menyelezaikan masalah",1,negatif
harga termurah dan selalu gratis ongkir bnyak voucher juga mantul setiap proses mudah seperti return barang Pokoknya the best,5,positif
min kalau updet di perbaiki min masak aku bukak shopee langsung kembali ini gimana shopee nya,1,negatif
"layanannya sangat baik sekali, Shopee memang yang terbaik",5,positif
ok,5,positif
tema,5,positif
"datengnya lama bisa sampe seminggu baru dateng, terus pengiriman gajelas",2,negatif
pengiriman lelet lambat rute di ubah ubah bikin kesel tolol,1,negatif
"Bagus,",5,positif
semakin baik,5,positif
aplikasi yang mudah belanja berbagai keperluan.,5,positif
"shopeefood harganya sangat aneh, d akun saya vip harganya lebih mahal di banding amun istri saya yang tidak vip😫",1,negatif
bgus,5,positif
bagus,5,positif
Bagus dari semua pelayanan 👍,5,positif
"shoope aplikasi tempat mencari segala keperluan,mudah penggunaannya dan banyak promonya,pokoknya mantaplah",5,positif
bagus sekali,5,positif
sangat bagus,5,positif
penangan permasalahan di shoppe susah lama . omongan nya gak sesuai kenyataan,1,negatif
bagus,5,positif
call senter sangat bisa diandalkan dan bisa segerahbnrin keluhan sya ....terimah kasihbanyak,5,positif
Bagus sesuai pesanan dan cepat sampai smg pas manfaatnya.,5,positif
jangan belanja disini sekarang shoppe udah main nipu jual barang GK berkualitas uang GK bisa kembali,1,negatif
murah bangeett,5,positif
"Return dipersulit, jasa kirim SPX menguasai jasa pengiriman Shopee kemudian opsi returnnya tidak menggunakan SPX, Dasar perusahaan licik!",1,negatif
aplikasi ter nge-lag kau lah itu,1,negatif
enak gampang pemesanan juga,5,positif
"shopee ini ternyata baik dan simpel untuk membeli barang apapun yang saya mau pasti ada dan di antar sampai depan rumah, bisa cod dan bisa TF...",5,positif
shopee penipu. seller juga penipu dan retur gua kagak di balikin. pembohong padahal bukti bukti semua uda kuat semua. tapi nyata nya hanya janji doang. sampai sekrang dana saya gak kembali,1,negatif
mantul,5,positif
baik bagus,1,negatif
puas,5,positif
mantapp👍👍👍,5,positif
"lebih mudah belanja gk perlu ribet"" ke pasar",5,positif
baik,5,positif
"sejauh ini ini paling mudah digunakan,pernah 2 kali seller g amanah,tapi selebihnya bagus",5,positif
seller ny BANYAK PENIPU BARANG RUSAK DI JUAL TAPI DI BIARKAN OLEH SHOPEE SANGAT MERUGIKAN PEMBELI PENGEMBALIAN DANA SERING GAGAL TOKO DAN PIHAK SHOPEE TDK ADA TANGGUNG JWB NY AKTIF KAN FITUR KOMENTAR PADA ULASAN PEMBELI AGAR KITA BISA BERI PERINGATAN PADA TOKO TOKO PENIPU BIAR GAK LAKU MEREKA,5,positif
ok mantap jiwa,5,positif
Terjamin dan tepat waktu. sangat memuaskan,5,positif
game bubble shope geme DAJJAL ENTOT,1,negatif
Alhamdulillah enak apknya,5,positif
bagus dari ongkir yang tidak terlalu mahal dan harga murah tapi kualitas barang bagus dan pelayanan juga memuaskan pokoknya lebih enak belanja online dishopee,5,positif
mantap,5,positif
"memudahkan belanja dan semua barang yg diperlukan tersedia, harga bersaing 👍👍👍",5,positif
apalah aplikasi banyak penipuan gajelas pesen ini datengnya itu,1,negatif
bintang 5 udah bagus simpel pokonya keren.,5,positif
shopee is the best,5,positif
bagus sekali 1000000%,5,positif
"shopee tempat belanja paling murah, gratis ongkir lg",5,positif
apala slalu ada iklan shope ganggu aja tw ga lagi buka wp,1,negatif
puas dengan layanannya,5,positif
terlalu berat,3,netral
"gak jelas cok,kemarin paket saya sedang diantar ketempat tujuan,sekarang Mlah dioper² paket saya,mentang² pake hemat,barang org dipermainin",1,negatif
shopee ok,5,positif
bagusss bangettccc,5,positif
Joss mantap,5,positif
okd,5,positif
"makin kesini makin susahhh,, masa tombol pesanan selesai udah ga ada, jadi otomatis selesai sendiri,, kita jadinya mau review kesendatt,, ga bisa kasi nilai langsung harus nunggu beberapa hari atau setengah bulan, ya otomatis ga ada respon dri penjual, Krn lama🫩",3,netral
love love shopee,5,positif
sip pokok nya bagus,5,positif
"ngeLag bae aplikasi tea setan,, jaringan Jeung hp aing memadai, nya loba bug anying loba masalah ieu aplikasi",5,positif
aplikasi buat belanja online jadi mudah dan cepat terima kasih,5,positif
"kemaren saya ada Maslah transaksi menggunakan Qris d shopee,pertama kan gagal pembelian paket data terus saya klik lagi,dan akhirnya berhasilp,pas saya liat kok tagihan nya tetap masuk,saya ada bukti kok yang transaksi gagal sama yang berhasil,d apl mu m3 pembelian paket gagal tapi di shope kok berhasil,mana paket data nya yang masuk cuma satu,masa bayar nya jadi 2 .",1,negatif
makin lama bunga jya makin tinggi,4,positif
gak jelas pas gw lagi main ml tiba tiba ada notifikasi gak sengaja gw pencet tiba tiba gw malah masuk ke sopi angy,1,negatif
jossss,5,positif
👍🏻,5,positif
mantab,5,positif
lain kali kalau ada update dilihat dulu mines nya apa komisi saya hilang dan itu uang buat di pake kebutuhan seketika hilang,1,negatif
abcde,5,positif
good,5,positif
ongkir nya Rp nol mantap shopee,5,positif
sangat membantu belanja secara mudah dan cepat,5,positif
tempat belanja yang tepat,5,positif
shopee keren..terkadang tokonya yg gak amanah,5,positif
pengiriman cepat deskripsi produk sesuai,5,positif
sangat membantu,5,positif
sangat membantu hampir semua keperluan belanja mksih shopee,5,positif
terbaik,5,positif
makasih....,5,positif
tidak perna kecewa dengan barang shopee,5,positif
kurir nya pacar kuu,5,positif
Ok,5,positif
mohon maaf kepada pihak shopee paket saya tertinggal di DC jakarta belum nyampai juga aku kasih bintang 1 dulu ada masalah sama spx nya,1,negatif
bisa membantu jualan atau membeli produk,5,positif
sangat baik dan puas,5,positif
sangatt membantu,5,positif
belanja murah banyak diskon dan yang terpenting gak ribet,5,positif
"sukaaa banggggettttt sama sophee belanja selalu sesuai pesanan dan tidak mengecewakan, dan bnyak diskon dan voucher nya yang menarik🥰😍",5,positif
iklan lo ada dimana-mana ganggu bngt,1,negatif
"Aplikasi terbaik di Indonesia, belanja mudah, pembayaran update,kiriman okeh, pokoknya ajiib..",5,positif
"shopee y knpa selalu paketq bermasalh dlm pengiriman😭gk sekali dua kali.. sering bgt.. terlambat nyampenya.. mbulet lah, stucklah, slah rute lah.. tiam nya gimna donk kerjanya😭",1,negatif
aplikasi nya bagus,5,positif
"shopee shop memang paling bagus,,dari market online lainnya, murah,gampang,dan bertanggung jawab,makasih shopee,tingkatkan terus kenyamanan dan keamanan,sukses selalu...shopee is the best.....",5,positif
YTTA,5,positif
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,5,positif
ngiklan yang bener aja,1,negatif
saya sangat suka aplikasi ini😍,5,positif
barang ok realpict,5,positif
"aplikasi ini gak bagus , saya berali ke lazada aja ,gak berpengertian malah kurir nya gak bagus julit",1,negatif
"sejauh ini sih cukup oke, cari apapun di Shopee selalu ada, semoga sama2 menguntungkan, cuman ada sebagian di jasa kirim nya sih yang lelet apalagi yang rekomendasi Shopee, sama P*sindo",5,positif
ok boleh jika lebih murah,4,positif
sangat bagus keren,5,positif
"senang dan puas belanja di toko ini, amanah.",5,positif
"jos pokoknya, tapi ya perbaiki dong server nya kadang aneh ni, lebih di stabilkan ya, terkadang tuh suka lag padahal jaringan full make wifi kenceng juga tapi suka lag tidak keluar gambar, terus sama satu lagi, baru aja ngalamin masa saya nyari barang, barang nya gaada, padahal kemarin saya nyari banyak yang muncul barusan saya mau cek lagi ilang semua ""barang tidak ada tolong masukan kata kunci yang tepat"" kalau gasalah ketikan nya seperti itu intinya gatau bug atau apa tolong di perbaiki.",5,positif
sangat amanah,5,positif
"mantab shopee banyak promo diskon gratis ongkir,pokonya mantab",5,positif
aman dan nyaman,5,positif
Mantap,5,positif
"Woy lah. Kalian manusia titipkan otak. Dikasih hati n perasaan. Gunain lah. Masa order ojol yg layanan murah, yg bawa paket banyak. Kalian order barang yg besar2 seperti booble, dus besar, lakban berdus dus,dll Kami ojol motor bawa motor, bukan bawa losbak..",5,positif
Aplikasi Shopee sangat membantu,5,positif
"Untuk belanja shopee emang no 1. Topp & saya puas. Sekedar masukan, kalau bisa komisi afiliasi tambah akun penerima pakai akun dana min, soalnya saya pribadi kesusahan buat akun pembayaran dikarenakan NPWP gabung sama suami. Semoga kedepannya shopee makin jaya 🥰",5,positif
susah tdk mau cod shopee nya.,1,negatif
"Sesuai dengan keadaan pemesan mau cod ataupun transfer,tidak mengecewakan",5,positif
"pesanan mudah ,paket yg dtgpun cepat dan aman, terpecaya",5,positif
bgus,5,positif
atao,5,positif
keren,5,positif
good,5,positif
secara keseluruhan dari awal saya gunakan luar biasa aplikasi yang sangat bagus dan terus berkembang dan berinovasi tapi sayangnya sekarang bermasalah di bagian penting yaitu pengiriman barang masalah di penjual yaitu penjual sering kali telat proses pengiriman ke jasa kurir sedangkan di pihak kurir sering kali telat pickup yang akhirnya sering kali paket terlambat datang dari waktu yang telah di tetapkan walaupun ada kompensasi dari shopee berupa voucher keterlambatan tapi itu tidak cukup puas,5,positif
"Keamanan lemah, CS tidak membantu pengguna yang telah tertipu oleh oknun penjual. Pihak Shopee tidak bisa mengetahui akun penipu",1,negatif
semoga makin banyak promo😂,5,positif
apk nomer 1 di hp saya memudahkan,5,positif
tagihan sudah lunas dari 3 bulan lalu tapi akun spaylater nya kok di tangguhkan,5,positif
bagus cepat sesuai estimasi,5,positif
cocok untuk belanja online,5,positif
saya senang adanya aplikasi shopee dengan harga murah juga berkualitas barang yg diantar aman,5,positif
sangat luar biasa dan sangat memuaskan....,5,positif
sangat membantu,5,positif
"VIP sma yng biasa, tetep mhl klo blnja di banding yng biasa. mlhn sbliknya. untuk benefit nya bgs si. cmn klo bisa perbulan ganti misal bulan ini A bulan depan toko B. menu semuanya.",1,negatif
